,NetworkIPv4_CIDR,SerialNumber,CountryName,CountryCode,RegionName,RegionCode,CityName,Latitude,Longitude,NewSerialNumber
5752,10.144.45.32/27,3020,France,FR,Auvergne-Rhone-Alpes,ARA,Guilherand-Granges,44.9328,4.8737,5752
5753,10.144.45.64/27,3021,France,FR,Auvergne-Rhone-Alpes,ARA,Guilherand-Granges,44.9328,4.8737,5753
5754,10.144.45.96/27,3023,France,FR,Auvergne-Rhone-Alpes,ARA,Guilherand-Granges,44.9328,4.8737,5754
5755,10.144.45.128/27,3029,France,FR,Auvergne-Rhone-Alpes,ARA,Guilherand-Granges,44.9328,4.8737,5755
5756,10.144.46.0/26,3063,France,FR,Grand Est,GES,Mulhouse,47.7493,7.3344,5756
5757,10.144.46.64/26,2022,France,FR,Île-de-France,IDF,Paris,48.8543,2.3527,5757
5758,10.144.46.128/26,2024,France,FR,Île-de-France,IDF,Paris,48.8543,2.3527,5758
5759,10.144.47.128/27,2023,France,FR,Île-de-France,IDF,Paris,48.8543,2.3527,5759
5760,10.144.48.0/26,3058,France,FR,Grand Est,GES,Mulhouse,47.7493,7.3344,5760
5761,10.144.48.64/26,3061,France,FR,Grand Est,GES,Mulhouse,47.7493,7.3344,5761
5762,10.144.48.128/26,3059,France,FR,Grand Est,GES,Mulhouse,47.7493,7.3344,5762
5763,10.144.48.192/26,3060,France,FR,Grand Est,GES,Mulhouse,47.7493,7.3344,5763
5764,10.144.49.128/27,3062,France,FR,Grand Est,GES,Mulhouse,47.7493,7.3344,5764
5765,10.144.56.0/24,3016,France,FR,Normandy,NOR,Equeurdreville-Hainneville,49.6487,-1.6531,5765
5766,10.144.57.0/24,3018,France,FR,Normandy,NOR,Equeurdreville-Hainneville,49.6487,-1.6531,5766
5767,10.144.58.0/24,3015,France,FR,Normandy,NOR,Equeurdreville-Hainneville,49.6487,-1.6531,5767
5768,10.144.59.64/26,3003,France,FR,Normandy,NOR,Equeurdreville-Hainneville,49.6487,-1.6531,5768
5769,10.144.59.128/28,3013,France,FR,Normandy,NOR,Equeurdreville-Hainneville,49.6487,-1.6531,5769
5770,10.144.59.160/28,3012,France,FR,Normandy,NOR,Equeurdreville-Hainneville,49.6487,-1.6531,5770
5771,10.144.59.192/27,3011,France,FR,Normandy,NOR,Equeurdreville-Hainneville,49.6487,-1.6531,5771
