,NetworkIPv4_CIDR,SerialNumber,CountryName,CountryCode,RegionName,RegionCode,CityName,Latitude,Longitude,NewSerialNumber
5399,10.130.211.0/24,397,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5399
5400,10.130.212.0/24,393,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5400
5401,10.130.213.0/24,390,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5401
5402,10.130.215.64/27,398,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5402
5403,10.130.215.96/27,403,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5403
5404,10.130.215.128/26,401,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5404
5405,10.130.216.0/25,405,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5405
5406,10.130.223.0/25,409,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5406
5407,10.130.229.0/24,10148,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5407
5408,10.130.240.1/32,12073,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5408
5409,10.130.250.128/27,12667,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5409
5410,10.130.253.80/30,400,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5410
5411,10.130.255.224/27,361,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651,5411
5412,10.131.51.24/30,399,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5412
5413,10.131.72.0/22,11567,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5413
5414,10.131.128.24/30,396,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5414
5415,10.131.128.40/30,404,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5415
5416,10.131.128.96/30,388,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5416
5417,10.131.128.104/30,389,Brazil,BR,Sao Paulo,27,Araraquara,-21.7967,-48.1766,5417
5418,10.132.7.0/24,11855,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5418
5419,10.132.8.0/24,11856,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5419
5420,10.132.13.0/24,11852,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5420
5421,10.132.14.0/24,11853,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5421
5422,10.132.15.0/24,11854,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5422
5423,10.133.4.0/24,11826,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5423
5424,10.133.24.0/27,11951,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5424
5425,10.134.0.0/16,12123,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5425
5426,10.135.32.92/32,11825,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5426
5427,10.135.34.0/26,11824,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5427
5428,10.135.152.0/26,10744,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5428
5429,10.135.152.64/26,10743,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5429
5430,10.135.152.128/26,10742,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,5430
