City,Country,CountryCode,Latitude,Longitude,Region,RegionCode,LookupKey
Newcastle,United Kingdom,GB,54.2287,-5.9355,Newry Mourne and Down,NMD,Newcastle#United Kingdom#GB
Noida,India,IN,28.5788,77.3321,Uttar Pradesh,36,Noida#India#IN
Norrkoping,Sweden,SE,,,,,Norrkoping#Sweden#SE
Nykoping,Sweden,SE,,,,,Nykoping#Sweden#SE
Ontario,Canada,CA,,,,,Ontario#Canada#CA
Opole,Poland,PL,50.663,17.9146,Opole Voivodeship,79,Opole#Poland#PL
Orebro,Sweden,SE,,,,,Orebro#Sweden#SE
Orleans,France,FR,,,,,Orleans#France#FR
Ornskoldviks,Sweden,SE,,,,,Ornskoldviks#Sweden#SE
Oslo,Norway,NO,59.905,10.7487,Oslo County,12,Oslo#Norway#NO
PARIS,France,FR,,,,,PARIS#France#FR
PONTYPRIDD,United Kingdom,GB,,,,,PONTYPRIDD#United Kingdom#GB
Paris,France,FR,48.8543,2.3527,Île-de-France,IDF,Paris#France#FR
Pau,France,FR,43.304,-0.3744,Nouvelle-Aquitaine,NAQ,Pau#France#FR
Pensacola,United States,US,30.4767,-87.3141,Florida,FL,Pensacola#United States#US
Pessac,France,FR,44.8152,-0.6455,Nouvelle-Aquitaine,NAQ,Pessac#France#FR
Philadelphia,United States,US,,,,,Philadelphia#United States#US
Piacenza,Italy,IT,45.0524,9.6934,Emilia-Romagna,05,Piacenza#Italy#IT
Plano,United States,US,,,,,Plano#United States#US
Porto Alegre,Brazil,BR,,,,,Porto Alegre#Brazil#BR
Pune,India,IN,18.5213,73.8523,Maharashtra,16,Pune#India#IN
QUIMPER,France,FR,,,,,QUIMPER#France#FR
Quevilly,France,FR,,,,,Quevilly#France#FR
RENNES1,France,FR,,,,,RENNES1#France#FR
Rabat,France,FR,,,,,Rabat#France#FR
Rabat,Morocco,MA,34.0123,-6.8484,Rabat-Sale-Kenitra,54,Rabat#Morocco#MA
Redwood,United States,US,44.3242,-75.8186,New York,NY,Redwood#United States#US
Rennes,France,FR,48.11,-1.6744,Brittany,BRE,Rennes#France#FR
Rio de Janeiro,Brazil,BR,-22.9201,-43.3307,Rio de Janeiro,21,Rio de Janeiro#Brazil#BR
Rockford,United States,US,,,,,Rockford#United States#US
Roma,Italy,IT,,,,,Roma#Italy#IT
Rome,Italy,IT,41.9,12.4833,Latium,07,Rome#Italy#IT
Rosemont,United States,US,,,,,Rosemont#United States#US
Rotherham,United Kingdom,GB,53.4477,-1.2045,Rotherham,L3,Rotherham#United Kingdom#GB
RotterDams,Netherlands,NL,,,,,RotterDams#Netherlands#NL
Rotterdam,Netherlands,NL,51.9249,4.5223,South Holland,11,Rotterdam#Netherlands#NL
Ruch,Poland,PL,,,,,Ruch#Poland#PL
Ruoms,France,FR,44.4517,4.3383,Auvergne-Rhone-Alpes,ARA,Ruoms#France#FR
SOPHIA ANTIPOLIS.2,France,FR,,,,,SOPHIA ANTIPOLIS.2#France#FR
STEZZANO,Italy,IT,,,,,STEZZANO#Italy#IT
Saint-Cloud,France,FR,48.846,2.2029,Île-de-France,IDF,Saint-Cloud#France#FR
Saint-Denis,France,FR,,,,,Saint-Denis#France#FR
Sale,United Kingdom,GB,53.4236,-2.3113,Trafford,O6,Sale#United Kingdom#GB
Salem,India,IN,11.6538,78.1554,Tamil Nadu,25,Salem#India#IN
Salvador,Brazil,BR,,,,,Salvador#Brazil#BR
San Francisco,United States,US,,,,,San Francisco#United States#US
San Telmo,Mexico,MX,,,,,San Telmo#Mexico#MX
Sandviken,Sweden,SE,60.6167,16.7667,Gävleborg,03,Sandviken#Sweden#SE
Santa Fe,Mexico,MX,,,,,Santa Fe#Mexico#MX
Schiltigheim,France,FR,48.6075,7.7493,Grand Est,GES,Schiltigheim#France#FR
Shanghai,China,CN,,,,,Shanghai#China#CN
Shenzhen,China,CN,22.5333,114.1333,Guangdong,30,Shenzhen#China#CN
Singapore,Singapore,SG,1.352083,103.8198395,Singapore,01,Singapore#Singapore#SG
Skovde,Sweden,SE,,,,,Skovde#Sweden#SE
Solna,Sweden,SE,59.3578,17.9959,Stockholm,26,Solna#Sweden#SE
Sophia antipolis.1,France,FR,,,,,Sophia antipolis.1#France#FR
Southfield,United States,US,,,,,Southfield#United States#US
Stavanger,Norway,NO,58.9598,5.77,Rogaland,14,Stavanger#Norway#NO
Stockholm,Sweden,SE,59.3307,18.0718,Stockholm,26,Stockholm#Sweden#SE
Strasbourg,France,FR,48.5855,7.7418,Grand Est,GES,Strasbourg#France#FR
Suceava,Romania,RO,47.4366,25.9846,Suceava,34,Suceava#Romania#RO
Sundsvalls,Sweden,SE,,,,,Sundsvalls#Sweden#SE
Swindon,United Kingdom,GB,51.5747,-1.7823,Swindon,N9,Swindon#United Kingdom#GB
Sydney,Australia,AU,-33.8591,151.2002,New South Wales,02,Sydney#Australia#AU
TOULOUSE,France,FR,,,,,TOULOUSE#France#FR
TRAFFORD,United Kingdom,GB,,,,,TRAFFORD#United Kingdom#GB
Taguig,Philippines,PH,14.4696,121.0591,Metro Manila,00,Taguig#Philippines#PH
Taipei City,Taiwan,TW,,,,,Taipei City#Taiwan#TW
Taiwan,Taiwan,TW,,,,,Taiwan#Taiwan#TW
Telford,United Kingdom,GB,52.701,-2.5052,Telford and Wrekin,O2,Telford#United Kingdom#GB
Tokyo,Japan,JP,35.6307,139.6905,Tokyo,40,Tokyo#Japan#JP
Torino,Italy,IT,,,,,Torino#Italy#IT
Toronto,Canada,CA,43.6693,-79.3158,Ontario,ON,Toronto#Canada#CA
Toulouse,France,FR,43.6046,1.4451,Occitanie,OCC,Toulouse#France#FR
Tours,France,FR,47.3481,0.671,Centre-Val de Loire,CVL,Tours#France#FR
Trichy,India,IN,,,,,Trichy#India#IN
Turnhout,Belgium,BE,51.3224,4.9432,Antwerp Province,01,Turnhout#Belgium#BE
US-SAJ-GONZALEZ,United States,US,,,,,US-SAJ-GONZALEZ#United States#US
Umea,Sweden,SE,,,,,Umea#Sweden#SE
University Park,United States,US,,,,,University Park#United States#US
Uppsala,Sweden,SE,59.8584,17.6446,Uppsala,21,Uppsala#Sweden#SE
Utrecht,Netherlands,NL,52.1037,5.1167,Provincie Utrecht,09,Utrecht#Netherlands#NL
VALENCIA,France,FR,,,,,VALENCIA#France#FR
VALENCIA,Spain,ES,,,,,VALENCIA#Spain#ES
Valencia,Spain,ES,39.5,-0.4167,Valencia,60,Valencia#Spain#ES
Vallensbaek Strand,Denmark,DK,55.6139,12.3895,Capital Region,17,Vallensbaek Strand#Denmark#DK
Vasteras,Sweden,SE,,,,,Vasteras#Sweden#SE
